Signal_ID,Client_ID,Client_Type,Alarm_Type,Technical_Signal,Zone,Date,Time,Shift,Priority_Level,Handled_By,Agent_Seniority,Response_Time_Min,Resolution_Time_Min,Incident,Police_Called,Fire_Department_Called,Escalated,False_Alarm_Reason,Outcome_Category
S00019,C2122,Warehouse,Technical,Power Restored,Zone 0 – Control Panel,2025-04-11,01:08,3rd,Low,E07,Junior,9,14,No,No,No,No,N/A,Unclassified
S00020,C2080,Factory,Fire,Heat Sensor,Zone 0 – Control Panel,2025-01-27,18:45,2nd,Critical,E01,Senior,2,32,Yes,No,Yes,Yes,N/A,Fire Confirmed
S00021,C2087,Factory,Tamper,Tamper Detected,Zone 1 – Main Door,2025-06-28,10:04,1st,Low,E04,Mid,9,14,No,No,No,No,Animal,False Alarm – Animal
S00022,C2009,Home,Panic Button,Emergency Triggered,Zone 3 – Bedroom,2025-05-31,16:57,2nd,Critical,E02,Senior,3,87,Yes,Yes,No,Yes,N/A,Fire Confirmed
S00023,C2122,Warehouse,Burglary,Glass Break,Zone 8 – Control Room,2025-01-13,14:15,1st,Low,E02,Senior,3,11,No,No,No,No,Power outage,False Alarm – Power outage
S00024,C2014,Home,Fire,Heat Sensor,Zone 9 – Hallway,2025-01-28,14:55,1st,Medium,E08,Junior,13,71,Yes,No,No,No,N/A,Confirmed Intrusion
S00025,C2049,Office,Technical,Sensor Fault,Zone 9 – Hallway,2025-05-08,02:12,3rd,Low,E04,Mid,6,15,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00026,C2020,Home,Technical,Low Battery,Zone 4 – Kitchen,2025-05-01,02:55,3rd,Low,E01,Senior,2,5,No,No,No,No,Power outage,False Alarm – Power outage
S00027,C2105,Warehouse,Burglary,Alarm Triggered,Zone 8 – Control Room,2025-06-04,18:10,2nd,Medium,E02,Senior,3,11,No,No,No,No,User error,False Alarm – User error
S00028,C2068,Shop,Panic Button,Duress Code,Zone 9 – Hallway,2025-04-28,07:24,1st,Critical,E03,Mid,6,92,Yes,Yes,No,Yes,N/A,Forced Entry
S00029,C2076,Factory,Technical,Low Battery,Zone 5 – Garage,2025-03-03,01:12,3rd,Low,E03,Mid,3,5,No,No,No,No,Power outage,False Alarm – Power outage
S00030,C2136,School,Burglary,Glass Break,Zone 9 – Hallway,2025-04-23,06:32,3rd,Low,E10,Mid,7,19,No,No,No,No,Animal,False Alarm – Animal
S00031,C2031,Office,Burglary,Glass Break,Zone 9 – Hallway,2025-02-23,10:25,1st,Low,E06,Junior,11,22,No,No,No,No,Maintenance,False Alarm – Maintenance
S00032,C2067,Shop,Panic Button,Duress Code,Zone 6 – Office,2025-06-09,20:59,2nd,Critical,E01,Senior,4,57,Yes,Yes,No,Yes,N/A,Forced Entry
S00033,C2019,Home,Technical,Sensor Fault,Zone 1 – Main Door,2025-05-03,12:59,1st,Low,E05,Mid,7,17,No,No,No,No,Maintenance,False Alarm – Maintenance
S00034,C2090,Factory,Burglary,Glass Break,Zone 1 – Main Door,2025-05-24,03:08,3rd,High,E03,Mid,7,91,Yes,Yes,No,Yes,N/A,Emergency Confirmed
S00035,C2142,School,Burglary,Motion Detected,Zone 6 – Office,2025-04-03,23:42,3rd,Low,E03,Mid,8,11,No,No,No,No,Animal,False Alarm – Animal
S00036,C2073,Shop,Burglary,Glass Break,Zone 7 – Storage,2025-05-28,17:17,2nd,High,E07,Junior,13,61,Yes,Yes,No,Yes,N/A,Forced Entry
S00037,C2014,Home,Technical,Sensor Fault,Zone 1 – Main Door,2025-05-08,19:57,2nd,Low,E07,Junior,9,23,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00038,C2068,Shop,Burglary,Motion Detected,Zone 6 – Office,2025-06-08,01:40,3rd,Critical,E05,Mid,8,24,Yes,Yes,No,Yes,N/A,Confirmed Intrusion
S00039,C2039,Office,Fire,Smoke Detected,Zone 9 – Hallway,2025-03-31,00:56,3rd,Critical,E02,Senior,4,35,Yes,No,Yes,Yes,N/A,Confirmed Intrusion
S00040,C2011,Home,Tamper,Tamper Detected,Zone 3 – Bedroom,2025-01-09,11:23,1st,Low,E08,Junior,12,27,No,No,No,No,Maintenance,False Alarm – Maintenance
S00041,C2040,Office,Tamper,Tamper Detected,Zone 6 – Office,2025-05-28,05:39,3rd,Low,E06,Junior,11,24,No,No,No,No,N/A,Unclassified
S00042,C2106,Warehouse,Tamper,Cover Removed,Zone 5 – Garage,2025-04-22,12:50,1st,Low,E01,Senior,3,5,No,No,No,No,Environmental,False Alarm – Environmental
S00043,C2052,Shop,Fire,Gas Leak,Zone 9 – Hallway,2025-05-08,14:14,1st,Critical,E03,Mid,6,8,No,No,No,No,User error,False Alarm – User error
S00044,C2085,Factory,Tamper,Tamper Detected,Zone 8 – Control Room,2025-02-17,02:25,3rd,Medium,E08,Junior,11,26,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00045,C2030,Office,Panic Button,Emergency Triggered,Zone 8 – Control Room,2025-05-25,12:01,1st,Critical,E04,Mid,4,63,Yes,Yes,No,Yes,N/A,Emergency Confirmed
S00046,C2131,School,Fire,Gas Leak,Zone 1 – Main Door,2025-06-07,05:38,3rd,High,E09,Junior,12,27,Yes,No,Yes,Yes,N/A,Fire Confirmed
S00047,C2018,Home,Fire,Gas Leak,Zone 9 – Hallway,2025-01-27,20:27,2nd,Critical,E05,Mid,8,61,Yes,No,Yes,Yes,N/A,Emergency Confirmed
S00048,C2104,Warehouse,Panic Button,Emergency Triggered,Zone 7 – Storage,2025-03-02,21:20,2nd,Critical,E06,Junior,11,48,Yes,Yes,No,Yes,N/A,Emergency Confirmed
S00049,C2001,Home,Fire,Gas Leak,Zone 3 – Bedroom,2025-01-17,05:35,3rd,High,E03,Mid,7,14,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00050,C2114,Warehouse,Fire,Heat Sensor,Zone 5 – Garage,2025-02-06,06:28,3rd,Critical,E09,Junior,12,16,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00051,C2132,School,Burglary,Alarm Triggered,Zone 8 – Control Room,2025-04-09,00:18,3rd,Low,E04,Mid,6,12,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00052,C2051,Shop,Panic Button,Emergency Triggered,Zone 6 – Office,2025-03-08,10:51,1st,High,E09,Junior,9,33,Yes,Yes,No,Yes,N/A,Forced Entry
S00053,C2148,School,Burglary,Motion Detected,Zone 9 – Hallway,2025-02-27,05:56,3rd,Critical,E02,Senior,2,17,Yes,Yes,No,Yes,N/A,Confirmed Intrusion
S00054,C2046,Office,Technical,Sensor Fault,Zone 7 – Storage,2025-05-07,21:14,2nd,Low,E07,Junior,15,24,No,No,No,No,Power outage,False Alarm – Power outage
S00055,C2119,Warehouse,Tamper,Cover Removed,Zone 0 – Control Panel,2025-06-10,09:51,1st,High,E06,Junior,9,17,No,No,No,No,Maintenance,False Alarm – Maintenance
S00056,C2041,Office,Technical,Sensor Fault,Zone 7 – Storage,2025-02-19,06:57,3rd,Medium,E05,Mid,4,19,No,No,No,No,Maintenance,False Alarm – Maintenance
S00057,C2134,School,Burglary,Motion Detected,Zone 0 – Control Panel,2025-02-26,19:49,2nd,Medium,E01,Senior,2,7,No,No,No,No,Dust,False Alarm – Dust
S00058,C2082,Factory,Fire,Smoke Detected,Zone 7 – Storage,2025-04-25,11:21,1st,High,E02,Senior,2,36,Yes,No,Yes,Yes,N/A,Fire Confirmed
S00059,C2105,Warehouse,Burglary,Motion Detected,Zone 7 – Storage,2025-03-27,08:26,1st,Critical,E10,Mid,8,76,Yes,Yes,No,Yes,N/A,Forced Entry
S00060,C2148,School,Technical,Sensor Fault,Zone 0 – Control Panel,2025-02-18,07:54,1st,Low,E04,Mid,7,21,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00061,C2108,Warehouse,Tamper,Tamper Detected,Zone 0 – Control Panel,2025-04-11,21:54,2nd,High,E03,Mid,5,13,No,No,No,No,Animal,False Alarm – Animal
S00062,C2104,Warehouse,Fire,Gas Leak,Zone 5 – Garage,2025-04-19,12:42,1st,High,E07,Junior,12,23,No,No,No,No,Power outage,False Alarm – Power outage
S00063,C2110,Warehouse,Technical,Sensor Fault,Zone 5 – Garage,2025-06-17,23:05,3rd,Low,E05,Mid,9,16,No,No,No,No,N/A,Unclassified
S00064,C2084,Factory,Tamper,Cover Removed,Zone 8 – Control Room,2025-03-04,18:29,2nd,Medium,E03,Mid,5,20,No,No,No,No,Dust,False Alarm – Dust
S00065,C2005,Home,Fire,Heat Sensor,Zone 9 – Hallway,2025-04-27,08:30,1st,Medium,E07,Junior,7,10,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00066,C2008,Home,Tamper,Tamper Detected,Zone 2 – Living Room,2025-04-28,23:48,3rd,Low,E03,Mid,6,18,No,No,No,No,Power outage,False Alarm – Power outage
S00067,C2056,Shop,Tamper,Cover Removed,Zone 9 – Hallway,2025-01-16,16:36,2nd,Medium,E05,Mid,5,18,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00068,C2042,Office,Burglary,Glass Break,Zone 8 – Control Room,2025-03-27,08:49,1st,Low,E01,Senior,2,10,No,No,No,No,Power outage,False Alarm – Power outage
S00069,C2063,Shop,Tamper,Cover Removed,Zone 1 – Main Door,2025-04-04,02:04,3rd,Low,E05,Mid,7,14,No,No,No,No,Animal,False Alarm – Animal
S00070,C2095,Factory,Fire,Heat Sensor,Zone 1 – Main Door,2025-02-08,13:42,1st,Critical,E05,Mid,5,82,Yes,No,Yes,Yes,N/A,Confirmed Intrusion
S00071,C2118,Warehouse,Technical,Sensor Fault,Zone 5 – Garage,2025-01-10,05:23,3rd,Low,E03,Mid,12,23,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00072,C2112,Warehouse,Technical,Power Loss,Zone 0 – Control Panel,2025-01-04,22:29,2nd,Low,E09,Junior,11,17,No,No,No,No,Power outage,False Alarm – Power outage
S00073,C2119,Warehouse,Technical,Sensor Fault,Zone 0 – Control Panel,2025-05-08,22:15,2nd,Low,E07,Junior,8,12,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00074,C2091,Factory,Tamper,Cover Removed,Zone 8 – Control Room,2025-06-28,06:13,3rd,Medium,E08,Junior,18,21,No,No,No,No,User error,False Alarm – User error
S00075,C2105,Warehouse,Burglary,Motion Detected,Zone 8 – Control Room,2025-06-17,02:46,3rd,Medium,E01,Senior,2,11,No,No,No,No,Power outage,False Alarm – Power outage
S00076,C2076,Factory,Fire,Gas Leak,Zone 5 – Garage,2025-03-22,15:05,2nd,High,E07,Junior,9,84,Yes,No,Yes,Yes,N/A,Emergency Confirmed
S00077,C2141,School,Fire,Gas Leak,Zone 6 – Office,2025-06-11,13:47,1st,Critical,E05,Mid,8,38,Yes,No,Yes,Yes,N/A,Fire Confirmed
S00078,C2138,School,Technical,Power Restored,Zone 9 – Hallway,2025-04-30,04:07,3rd,Low,E04,Mid,7,20,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00079,C2050,Office,Panic Button,Emergency Triggered,Zone 8 – Control Room,2025-05-18,19:06,2nd,Critical,E04,Mid,6,89,Yes,Yes,No,Yes,N/A,Fire Confirmed
S00080,C2014,Home,Technical,Power Loss,Zone 5 – Garage,2025-04-06,11:02,1st,Low,E08,Junior,19,30,No,No,No,No,Power outage,False Alarm – Power outage
S00081,C2123,Warehouse,Tamper,Cover Removed,Zone 8 – Control Room,2025-04-23,03:30,3rd,Low,E03,Mid,8,17,No,No,No,No,Environmental,False Alarm – Environmental
S00082,C2017,Home,Burglary,Alarm Triggered,Zone 4 – Kitchen,2025-03-25,00:52,3rd,Low,E09,Junior,6,10,No,No,No,No,User error,False Alarm – User error
S00083,C2064,Shop,Technical,Sensor Fault,Zone 1 – Main Door,2025-06-26,11:05,1st,Low,E08,Junior,19,25,No,No,No,No,N/A,Unclassified
S00084,C2146,School,Fire,Smoke Detected,Zone 8 – Control Room,2025-05-08,21:19,2nd,Medium,E02,Senior,2,8,No,No,No,No,User error,False Alarm – User error
S00085,C2062,Shop,Burglary,Motion Detected,Zone 6 – Office,2025-03-10,08:10,1st,Low,E07,Junior,13,24,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00086,C2009,Home,Technical,Power Loss,Zone 2 – Living Room,2025-02-26,14:18,1st,Low,E10,Mid,9,12,No,No,No,No,N/A,Unclassified
S00087,C2068,Shop,Fire,Heat Sensor,Zone 8 – Control Room,2025-05-22,18:59,2nd,High,E08,Junior,16,50,Yes,No,Yes,Yes,N/A,Emergency Confirmed
S00088,C2016,Home,Technical,Power Loss,Zone 2 – Living Room,2025-03-17,01:04,3rd,Low,E08,Junior,11,24,No,No,No,No,N/A,Unclassified
S00089,C2104,Warehouse,Burglary,Motion Detected,Zone 7 – Storage,2025-01-07,19:44,2nd,Critical,E03,Mid,4,74,Yes,Yes,No,Yes,N/A,Emergency Confirmed
S00090,C2024,Home,Fire,Heat Sensor,Zone 2 – Living Room,2025-05-16,19:01,2nd,Medium,E08,Junior,17,26,No,No,No,No,User error,False Alarm – User error
S00091,C2072,Shop,Tamper,Cover Removed,Zone 6 – Office,2025-03-12,06:58,3rd,High,E04,Mid,3,10,No,No,No,No,Power outage,False Alarm – Power outage
S00092,C2027,Office,Fire,Gas Leak,Zone 6 – Office,2025-03-31,12:42,1st,Critical,E02,Senior,4,19,No,No,No,No,Power outage,False Alarm – Power outage
S00093,C2023,Home,Burglary,Alarm Triggered,Zone 3 – Bedroom,2025-05-06,07:29,1st,High,E02,Senior,4,84,Yes,Yes,No,Yes,N/A,Confirmed Intrusion
S00094,C2014,Home,Fire,Heat Sensor,Zone 2 – Living Room,2025-04-02,06:26,3rd,Critical,E02,Senior,3,74,Yes,No,Yes,Yes,N/A,Confirmed Intrusion
S00095,C2141,School,Fire,Gas Leak,Zone 9 – Hallway,2025-02-25,18:17,2nd,Critical,E06,Junior,11,23,No,No,No,No,Animal,False Alarm – Animal
S00096,C2041,Office,Panic Button,Emergency Triggered,Zone 8 – Control Room,2025-02-16,02:45,3rd,Critical,E10,Mid,8,37,Yes,Yes,No,Yes,N/A,Forced Entry
S00097,C2040,Office,Technical,Power Loss,Zone 0 – Control Panel,2025-06-13,16:41,2nd,Low,E06,Junior,14,23,No,No,No,No,N/A,Unclassified
S00098,C2142,School,Tamper,Cover Removed,Zone 9 – Hallway,2025-06-08,02:29,3rd,Low,E04,Mid,9,24,No,No,No,No,User error,False Alarm – User error
S00099,C2107,Warehouse,Burglary,Motion Detected,Zone 7 – Storage,2025-01-12,00:17,3rd,High,E04,Mid,6,21,No,No,No,No,Dust,False Alarm – Dust
S00100,C2039,Office,Fire,Heat Sensor,Zone 0 – Control Panel,2025-05-02,14:55,1st,Critical,E02,Senior,2,86,Yes,No,Yes,Yes,N/A,Forced Entry
S00101,C2083,Factory,Fire,Heat Sensor,Zone 5 – Garage,2025-06-27,14:59,1st,High,E03,Mid,6,14,No,No,No,No,Environmental,False Alarm – Environmental
S00102,C2122,Warehouse,Panic Button,Duress Code,Zone 8 – Control Room,2025-06-10,15:20,2nd,Critical,E02,Senior,3,82,Yes,Yes,No,Yes,N/A,Emergency Confirmed
S00103,C2113,Warehouse,Technical,Sensor Fault,Zone 1 – Main Door,2025-05-21,00:55,3rd,Low,E09,Junior,12,27,No,No,No,No,N/A,Unclassified
S00104,C2121,Warehouse,Technical,Power Loss,Zone 7 – Storage,2025-01-10,01:04,3rd,Medium,E01,Senior,3,18,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00105,C2125,Warehouse,Tamper,Tamper Detected,Zone 0 – Control Panel,2025-04-29,21:20,2nd,Low,E05,Mid,6,11,No,No,No,No,Dust,False Alarm – Dust
S00106,C2026,Office,Technical,Low Battery,Zone 7 – Storage,2025-02-28,00:27,3rd,Medium,E05,Mid,10,12,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00107,C2015,Home,Burglary,Alarm Triggered,Zone 3 – Bedroom,2025-04-09,07:20,1st,High,E01,Senior,2,13,No,No,No,No,Power outage,False Alarm – Power outage
S00108,C2045,Office,Panic Button,Duress Code,Zone 1 – Main Door,2025-05-13,01:10,3rd,Critical,E06,Junior,15,59,Yes,Yes,No,Yes,N/A,Forced Entry
S00109,C2066,Shop,Fire,Smoke Detected,Zone 8 – Control Room,2025-06-14,03:29,3rd,Critical,E02,Senior,2,5,No,No,No,No,User error,False Alarm – User error
S00110,C2077,Factory,Burglary,Motion Detected,Zone 0 – Control Panel,2025-06-22,22:22,2nd,High,E07,Junior,9,24,No,No,No,No,Power outage,False Alarm – Power outage
S00111,C2061,Shop,Burglary,Motion Detected,Zone 9 – Hallway,2025-02-01,14:06,1st,High,E01,Senior,1,3,No,No,No,No,Dust,False Alarm – Dust
S00112,C2003,Home,Technical,Low Battery,Zone 5 – Garage,2025-01-03,21:17,2nd,Medium,E06,Junior,10,24,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00113,C2091,Factory,Technical,Power Restored,Zone 5 – Garage,2025-05-13,10:38,1st,Low,E06,Junior,4,16,No,No,No,No,Maintenance,False Alarm – Maintenance
S00114,C2011,Home,Technical,Sensor Fault,Zone 3 – Bedroom,2025-03-26,16:57,2nd,Low,E09,Junior,9,12,No,No,No,No,Maintenance,False Alarm – Maintenance
S00115,C2107,Warehouse,Tamper,Tamper Detected,Zone 5 – Garage,2025-02-07,19:20,2nd,Low,E06,Junior,11,21,No,No,No,No,Dust,False Alarm – Dust
S00116,C2043,Office,Technical,Sensor Fault,Zone 8 – Control Room,2025-06-15,19:53,2nd,Low,E04,Mid,6,20,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00117,C2020,Home,Technical,Power Restored,Zone 2 – Living Room,2025-04-16,00:29,3rd,Medium,E02,Senior,3,6,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00118,C2068,Shop,Technical,Low Battery,Zone 7 – Storage,2025-03-25,21:00,2nd,Medium,E05,Mid,8,19,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00119,C2096,Factory,Burglary,Motion Detected,Zone 1 – Main Door,2025-05-06,21:52,2nd,Medium,E01,Senior,1,8,No,No,No,No,Maintenance,False Alarm – Maintenance
S00120,C2017,Home,Fire,Gas Leak,Zone 9 – Hallway,2025-01-25,02:41,3rd,Critical,E05,Mid,8,28,Yes,No,Yes,Yes,N/A,Confirmed Intrusion
S00121,C2030,Office,Burglary,Glass Break,Zone 1 – Main Door,2025-06-27,19:31,2nd,Medium,E08,Junior,15,28,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00122,C2040,Office,Burglary,Motion Detected,Zone 0 – Control Panel,2025-01-22,13:37,1st,Low,E05,Mid,4,6,No,No,No,No,Dust,False Alarm – Dust
S00123,C2114,Warehouse,Burglary,Glass Break,Zone 8 – Control Room,2025-03-31,04:13,3rd,High,E04,Mid,6,90,Yes,Yes,No,Yes,N/A,Emergency Confirmed
S00124,C2071,Shop,Burglary,Glass Break,Zone 6 – Office,2025-02-16,15:25,2nd,Critical,E07,Junior,10,27,Yes,Yes,No,Yes,N/A,Confirmed Intrusion
S00125,C2033,Office,Burglary,Glass Break,Zone 9 – Hallway,2025-03-04,20:15,2nd,Low,E08,Junior,12,17,No,No,No,No,Maintenance,False Alarm – Maintenance
S00126,C2038,Office,Fire,Smoke Detected,Zone 9 – Hallway,2025-06-29,10:21,1st,Critical,E04,Mid,5,15,No,No,No,No,User error,False Alarm – User error
S00127,C2045,Office,Fire,Heat Sensor,Zone 1 – Main Door,2025-01-28,19:51,2nd,Medium,E07,Junior,13,73,Yes,No,No,No,N/A,Fire Confirmed
S00128,C2045,Office,Burglary,Glass Break,Zone 8 – Control Room,2025-04-17,20:01,2nd,Medium,E05,Mid,7,10,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00129,C2093,Factory,Burglary,Motion Detected,Zone 7 – Storage,2025-04-25,14:28,1st,Low,E04,Mid,6,8,No,No,No,No,Maintenance,False Alarm – Maintenance
S00130,C2008,Home,Burglary,Alarm Triggered,Zone 1 – Main Door,2025-02-13,11:29,1st,Critical,E03,Mid,5,76,Yes,Yes,No,Yes,N/A,Confirmed Intrusion
S00131,C2038,Office,Fire,Smoke Detected,Zone 1 – Main Door,2025-05-18,00:20,3rd,Critical,E01,Senior,4,60,Yes,No,Yes,Yes,N/A,Forced Entry
S00132,C2130,School,Panic Button,Duress Code,Zone 8 – Control Room,2025-01-08,19:29,2nd,High,E04,Mid,9,21,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00133,C2116,Warehouse,Tamper,Cover Removed,Zone 5 – Garage,2025-04-11,18:27,2nd,Medium,E06,Junior,7,10,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00134,C2081,Factory,Fire,Gas Leak,Zone 8 – Control Room,2025-05-30,12:27,1st,High,E05,Mid,8,23,No,No,No,No,Animal,False Alarm – Animal
S00135,C2111,Warehouse,Burglary,Motion Detected,Zone 1 – Main Door,2025-04-04,08:05,1st,High,E03,Mid,2,12,No,No,No,No,Maintenance,False Alarm – Maintenance
S00136,C2032,Office,Technical,Power Loss,Zone 0 – Control Panel,2025-02-05,04:42,3rd,Medium,E06,Junior,12,18,No,No,No,No,Power outage,False Alarm – Power outage
S00137,C2027,Office,Technical,Power Restored,Zone 9 – Hallway,2025-03-16,03:22,3rd,Low,E03,Mid,7,22,No,No,No,No,Maintenance,False Alarm – Maintenance
S00138,C2143,School,Fire,Smoke Detected,Zone 6 – Office,2025-03-20,16:22,2nd,Critical,E07,Junior,8,94,Yes,No,Yes,Yes,N/A,Confirmed Intrusion
S00139,C2047,Office,Burglary,Motion Detected,Zone 8 – Control Room,2025-05-13,11:01,1st,High,E05,Mid,4,19,No,No,No,No,User error,False Alarm – User error
S00140,C2103,Warehouse,Tamper,Tamper Detected,Zone 1 – Main Door,2025-02-16,01:36,3rd,Low,E02,Senior,3,11,No,No,No,No,Power outage,False Alarm – Power outage
S00141,C2041,Office,Fire,Gas Leak,Zone 8 – Control Room,2025-05-06,14:21,1st,Critical,E04,Mid,7,9,No,No,No,No,Animal,False Alarm – Animal
S00142,C2013,Home,Panic Button,Emergency Triggered,Zone 9 – Hallway,2025-01-10,17:10,2nd,Critical,E02,Senior,2,73,Yes,Yes,No,Yes,N/A,Forced Entry
S00143,C2132,School,Burglary,Alarm Triggered,Zone 1 – Main Door,2025-06-17,03:13,3rd,Critical,E05,Mid,8,98,Yes,Yes,No,Yes,N/A,Forced Entry
S00144,C2057,Shop,Technical,Low Battery,Zone 9 – Hallway,2025-06-01,19:02,2nd,Low,E02,Senior,4,18,No,No,No,No,Maintenance,False Alarm – Maintenance
S00145,C2066,Shop,Technical,Power Loss,Zone 0 – Control Panel,2025-03-10,01:48,3rd,Low,E02,Senior,3,7,No,No,No,No,N/A,Unclassified
S00146,C2137,School,Technical,Power Loss,Zone 9 – Hallway,2025-03-17,17:24,2nd,Low,E07,Junior,11,19,No,No,No,No,Power outage,False Alarm – Power outage
S00147,C2020,Home,Burglary,Motion Detected,Zone 3 – Bedroom,2025-03-01,23:29,3rd,Critical,E06,Junior,9,77,Yes,Yes,No,Yes,N/A,Emergency Confirmed
S00148,C2006,Home,Tamper,Tamper Detected,Zone 3 – Bedroom,2025-06-14,00:25,3rd,High,E06,Junior,9,17,No,No,No,No,Animal,False Alarm – Animal
S00149,C2112,Warehouse,Panic Button,Duress Code,Zone 0 – Control Panel,2025-05-12,08:15,1st,High,E07,Junior,16,74,Yes,Yes,No,Yes,N/A,Fire Confirmed
S00150,C2044,Office,Burglary,Motion Detected,Zone 1 – Main Door,2025-02-01,20:49,2nd,Low,E07,Junior,10,17,No,No,No,No,Environmental,False Alarm – Environmental
S00151,C2038,Office,Fire,Smoke Detected,Zone 6 – Office,2025-05-23,20:46,2nd,High,E04,Mid,6,40,Yes,No,Yes,Yes,N/A,Confirmed Intrusion
S00152,C2127,School,Burglary,Motion Detected,Zone 0 – Control Panel,2025-04-14,17:49,2nd,Critical,E08,Junior,17,26,No,No,No,No,User error,False Alarm – User error
S00153,C2114,Warehouse,Tamper,Cover Removed,Zone 7 – Storage,2025-05-15,00:30,3rd,Low,E02,Senior,3,12,No,No,No,No,Power outage,False Alarm – Power outage
